"","names","mean","sd","isotype","isotype_mean","isotype_sd","X2.sample.z.score"
"TCRab-TotalA","TCRab-TotalA",0.524979713,0.367999669,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,72.52700667
"CD192-TotalA","CD192-TotalA",0.182666197,0.248166369,"Mouse-IgG2a-isotype-TotalA",0.01305876,0.073540019,34.2189987
"CD122-TotalA","CD122-TotalA",0.242858443,0.306276174,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,39.40623611
"FCER1A-TotalA","FCER1A-TotalA",0.035422311,0.120289339,"Mouse-IgG2b-isotype-TotalA",0.014752471,0.088635644,7.223973656
"CD41-TotalA","CD41-TotalA",0.079925854,0.202880937,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,17.88240284
"CD137-TotalA","CD137-TotalA",0.012876222,0.072618379,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,2.900038828
"CD43-TotalA","CD43-TotalA",1.106045664,0.415628917,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,136.7047844
"CD163-TotalA","CD163-TotalA",0.088014435,0.181081674,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,22.07366769
"CD83-TotalA","CD83-TotalA",0.161497416,0.239364998,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,32.62490604
"CD13-TotalA","CD13-TotalA",0.018274512,0.086351551,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,5.309759488
"CD2-TotalA","CD2-TotalA",1.853358802,0.479467893,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,199.5974409
"CD226-TotalA","CD226-TotalA",0.528279768,0.36277842,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,74.01492452
"CD29-TotalA","CD29-TotalA",1.598521354,0.613445488,"Mouse-IgG1-isotype-TotalA",0.007742332,0.057207722,134.8329807
